Address,Price,Details
"Sleman, Sleman",Rp 689.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Gamping, Sleman",Rp 700.000.000,2                                Kamar tidur                                    76 m?                                Bangunan                                     108 m?                                Lahan
"Ngaglik, Sleman",Rp 689.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Bantul, Bantul",Rp 875.000.000,3                                Kamar tidur                                    82 m?                                Bangunan                                     112 m?                                Lahan
"Maguwoharjo, Sleman",Rp 270.000.000,2                                Kamar tidur                                    78 m?                                Bangunan                                     94 m?                                Lahan
"Moyudan, Sleman",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     101 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 1.375.000.000,8                                Kamar tidur                                    192 m?                                Bangunan                                     80 m?                                Lahan
"Bantul, Bantul",Rp 150.500.000,2                                Kamar tidur                                    30 m?                                Bangunan                                     63 m?                                Lahan
"Maguwoharjo, Sleman",Rp 235.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     60 m?                                Lahan
"Maguwoharjo, Sleman",Rp 190.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     50 m?                                Lahan
"Ngaglik, Sleman",Rp 1.600.000.000,3                                Kamar tidur                                    136 m?                                Bangunan                                     103 m?                                Lahan
"Kalasan, Sleman",Rp 265.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     72 m?                                Lahan
"Prambanan, Sleman",Rp 263.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     71 m?                                Lahan
"Depok, Sleman",Rp 1.550.000.000,9                                Kamar tidur                                    170 m?                                Bangunan                                     128 m?                                Lahan
"Sedayu, Bantul",Rp 265.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     60 m?                                Lahan
"Kotagede, Yogyakarta",Rp 1.094.000.000,3                                Kamar tidur                                    76 m?                                Bangunan                                     80 m?                                Lahan
"Mlati, Sleman",Rp 3.900.000.000,4                                Kamar tidur                                    206 m?                                Bangunan                                     210 m?                                Lahan
"Caturtunggal, Sleman",Rp 375.000.000,2                                Kamar tidur                                    65 m?                                Bangunan                                     60 m?                                Lahan
"Ngaglik, Sleman",Rp 995.000.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     111 m?                                Lahan
"Sleman, Sleman",Rp 185.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     50 m?                                Lahan
"Wonosari, Gunung Kidul",Rp 340.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     100 m?                                Lahan
"Moyudan, Sleman",Rp 338.000.000,3                                Kamar tidur                                    45 m?                                Bangunan                                     87 m?                                Lahan
"Pakem, Sleman",Rp 270.000.000,2                                Kamar tidur                                    42 m?                                Bangunan                                     60 m?                                Lahan
"Prambanan, Sleman",Rp 235.000.000,2                                Kamar tidur                                    32 m?                                Bangunan                                     68 m?                                Lahan
"Pengasih, Kulon Progo",Rp 850.000.000,3                                Kamar tidur                                    154 m?                                Bangunan                                     220 m?                                Lahan
"Ngaglik, Sleman",Rp 1.310.000.000,2                                Kamar tidur                                    60 m?                                Bangunan                                     100 m?                                Lahan
"Ngaglik, Sleman",Rp 1.395.000.000,3                                Kamar tidur                                    95 m?                                Bangunan                                     100 m?                                Lahan
"Kalasan, Sleman",Rp 549.999.999,2                                Kamar tidur                                    55 m?                                Bangunan                                     112 m?                                Lahan
"Depok, Sleman",Rp 6.800.000.000,25                                Kamar tidur                                    900 m?                                Bangunan                                     711 m?                                Lahan
"Ngaglik, Sleman",Rp 1.300.000.000,3                                Kamar tidur                                    160 m?                                Bangunan                                     100 m?                                Lahan
"Depok, Sleman",Rp 11.500.000.000,10                                Kamar tidur                                    1100 m?                                Bangunan                                     1073 m?                                Lahan
"Prambanan, Sleman",Rp 290.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     122 m?                                Lahan
"Maguwoharjo, Sleman",Rp 775.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     100 m?                                Lahan
"Maguwoharjo, Sleman",Rp 695.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     105 m?                                Lahan
"Sewon, Bantul",Rp 550.000.000,2                                Kamar tidur                                    55 m?                                Bangunan                                     116 m?                                Lahan
"Ngaglik, Sleman",Rp 20.000.000.000,9                                Kamar tidur                                    700 m?                                Bangunan                                     650 m?                                Lahan
"Sedayu, Bantul",Rp 495.000.000,3                                Kamar tidur                                    52 m?                                Bangunan                                     84 m?                                Lahan
"Ngaglik, Sleman",Rp 10.000.000.000,5                                Kamar tidur                                    532 m?                                Bangunan                                     399 m?                                Lahan
"Ngaglik, Sleman",Rp 1.100.000.000,4                                Kamar tidur                                    154 m?                                Bangunan                                     101 m?                                Lahan
"Maguwoharjo, Sleman",Rp 1.300.000.000,4                                Kamar tidur                                    250 m?                                Bangunan                                     304 m?                                Lahan
"Depok, Sleman",Rp 1.750.000.000,3                                Kamar tidur                                    110 m?                                Bangunan                                     143 m?                                Lahan
"Ngemplak, Sleman",Rp 695.000.000,3                                Kamar tidur                                    88 m?                                Bangunan                                     1 m?                                Lahan
"Depok, Sleman",Rp 13.000.000.000,10                                Kamar tidur                                    200 m?                                Bangunan                                     741 m?                                Lahan
"Depok, Sleman",Rp 865.000.000,3                                Kamar tidur                                    7 m?                                Bangunan                                     90 m?                                Lahan
"Ngaglik, Sleman",Rp 1.400.000.000,4                                Kamar tidur                                    160 m?                                Bangunan                                     131 m?                                Lahan
"Depok, Sleman",Rp 998.000.000,3                                Kamar tidur                                    93 m?                                Bangunan                                     91 m?                                Lahan
"Ngaglik, Sleman",Rp 650.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     130 m?                                Lahan
"Turi, Sleman",Rp 2.400.000.000,5                                Kamar tidur                                    250 m?                                Bangunan                                     942 m?                                Lahan
"Kasihan, Bantul",Rp 875.000.000,3                                Kamar tidur                                    150 m?                                Bangunan                                     349 m?                                Lahan
"Ngaglik, Sleman",Rp 995.000.000,5                                Kamar tidur                                    110 m?                                Bangunan                                     195 m?                                Lahan
"Ngaglik, Sleman",Rp 689.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Ngaglik, Sleman",Rp 1.400.000.000,3                                Kamar tidur                                    117 m?                                Bangunan                                     135 m?                                Lahan
"Berbah, Sleman",Rp 1.550.000.000,3                                Kamar tidur                                    48 m?                                Bangunan                                     404 m?                                Lahan
"Prambanan, Sleman",Rp 450.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     110 m?                                Lahan
"Prambanan, Sleman",Rp 355.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     96 m?                                Lahan
"Sedayu, Bantul",Rp 831.210.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     105 m?                                Lahan
"Prambanan, Sleman",Rp 870.000.000,3                                Kamar tidur                                    65 m?                                Bangunan                                     108 m?                                Lahan
"Prambanan, Sleman",Rp 665.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     90 m?                                Lahan
"Depok, Sleman",Rp 6.000.000.000,4                                Kamar tidur                                    396 m?                                Bangunan                                     364 m?                                Lahan
"Gamping, Sleman",Rp 766.000.000,3                                Kamar tidur                                    78 m?                                Bangunan                                     80 m?                                Lahan
"Godean, Sleman",Rp 699.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     162 m?                                Lahan
"Moyudan, Sleman",Rp 835.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     100 m?                                Lahan
"Purwo martani, Sleman",Rp 489.000.000,2                                Kamar tidur                                    59 m?                                Bangunan                                     119 m?                                Lahan
"Sedayu, Bantul",Rp 220.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     86 m?                                Lahan
"Minggir, Sleman",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     120 m?                                Lahan
"Sleman, Sleman",Rp 750.000.000,3                                Kamar tidur                                    62 m?                                Bangunan                                     120 m?                                Lahan
"Pakem, Sleman",Rp 550.000.000,2                                Kamar tidur                                    56 m?                                Bangunan                                     68 m?                                Lahan
"Depok, Sleman",Rp 7.000.000.000,20                                Kamar tidur                                    500 m?                                Bangunan                                     430 m?                                Lahan
"Ngaglik, Sleman",Rp 975.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     137 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 3.300.000.000,4                                Kamar tidur                                    170 m?                                Bangunan                                     146 m?                                Lahan
"Sleman, Sleman",Rp 1.000.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     95 m?                                Lahan
"Banguntapan, Bantul",Rp 700.000.000,3                                Kamar tidur                                    76 m?                                Bangunan                                     87 m?                                Lahan
"Purwo martani, Sleman",Rp 725.000.000,2                                Kamar tidur                                    52 m?                                Bangunan                                     92 m?                                Lahan
"Banguntapan, Bantul",Rp 800.000.000,3                                Kamar tidur                                    72 m?                                Bangunan                                     80 m?                                Lahan
"Prambanan, Sleman",Rp 536.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     90 m?                                Lahan
"Maguwoharjo, Sleman",Rp 1.687.500.000,4                                Kamar tidur                                    150 m?                                Bangunan                                     120 m?                                Lahan
"Mlati, Sleman",Rp 1.980.000.000,3                                Kamar tidur                                    158 m?                                Bangunan                                     140 m?                                Lahan
Bantul,Rp 699.900.000,3                                Kamar tidur                                    72 m?                                Bangunan                                     80 m?                                Lahan
"Bantul, Bantul",Rp 1.500.000.000,4                                Kamar tidur                                    82 m?                                Bangunan                                     88 m?                                Lahan
"Kasihan, Bantul",Rp 950.000.000,3                                Kamar tidur                                    78 m?                                Bangunan                                     82 m?                                Lahan
"Godean, Sleman",Rp 729.000.000,2                                Kamar tidur                                    56 m?                                Bangunan                                     105 m?                                Lahan
"Ngaglik, Sleman",Rp 886.000.000,3                                Kamar tidur                                    86 m?                                Bangunan                                     122 m?                                Lahan
"Bantul, Bantul",Rp 1.000.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     95 m?                                Lahan
"Godean, Sleman",Rp 702.250.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     112 m?                                Lahan
"Ngaglik, Sleman",Rp 886.000.000,3                                Kamar tidur                                    86 m?                                Bangunan                                     122 m?                                Lahan
"Sewon, Bantul",Rp 950.000.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     100 m?                                Lahan
"Sedayu, Bantul",Rp 1.081.603.000,2                                Kamar tidur                                    56 m?                                Bangunan                                     163 m?                                Lahan
"Gamping, Sleman",Rp 1.300.000.000,4                                Kamar tidur                                    110 m?                                Bangunan                                     142 m?                                Lahan
"Sedayu, Bantul",Rp 1.115.181.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     135 m?                                Lahan
"Sedayu, Bantul",Rp 1.140.828.000,3                                Kamar tidur                                    75 m?                                Bangunan                                     163 m?                                Lahan
"Ngaglik, Sleman",Rp 1.200.000.000,4                                Kamar tidur                                    88 m?                                Bangunan                                     152 m?                                Lahan
"Ngaglik, Sleman",Rp 2.373.000.000,3                                Kamar tidur                                    130 m?                                Bangunan                                     409 m?                                Lahan
"Banguntapan, Bantul",Rp 1.300.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     120 m?                                Lahan
"Sedayu, Bantul",Rp 490.000.000,3                                Kamar tidur                                    48 m?                                Bangunan                                     105 m?                                Lahan
"Banguntapan, Bantul",Rp 475.000.000,3                                Kamar tidur                                    50 m?                                Bangunan                                     70 m?                                Lahan
"Godean, Sleman",Rp 546.500.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     90 m?                                Lahan
"Mlati, Sleman",Rp 3.550.000.000,5                                Kamar tidur                                    200 m?                                Bangunan                                     334 m?                                Lahan
Yogyakarta,Rp 522.000.000,10                                Kamar tidur                                    213 m?                                Bangunan                                     235 m?                                Lahan
"Bantul, Bantul",Rp 155.000.000,2                                Kamar tidur                                    30 m?                                Bangunan                                     60 m?                                Lahan
"Depok, Sleman",Rp 1.550.000.000,3                                Kamar tidur                                    95 m?                                Bangunan                                     123 m?                                Lahan
"Caturtunggal, Sleman",Rp 1.550.000.000,6                                Kamar tidur                                    147 m?                                Bangunan                                     189 m?                                Lahan
"Gamping, Sleman",Rp 766.000.000,3                                Kamar tidur                                    78 m?                                Bangunan                                     80 m?                                Lahan
Sleman,Rp 399.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     70 m?                                Lahan
"Gamping, Sleman",Rp 955.000.000,2                                Kamar tidur                                    130 m?                                Bangunan                                     130 m?                                Lahan
"Kalasan, Sleman",Rp 535.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     108 m?                                Lahan
Sleman,Rp 1.650.000.000,3                                Kamar tidur                                    140 m?                                Bangunan                                     117 m?                                Lahan
Yogyakarta,Rp 1.900.000.000,4                                Kamar tidur                                    120 m?                                Bangunan                                     150 m?                                Lahan
"Godean, Sleman",Rp 1.125.000.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     108 m?                                Lahan
"Moyudan, Sleman",Rp 532.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     168 m?                                Lahan
"Gamping, Sleman",Rp 850.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     100 m?                                Lahan
"Mlati, Sleman",Rp 697.000.000,3                                Kamar tidur                                    62 m?                                Bangunan                                     109 m?                                Lahan
Yogyakarta,Rp 1.650.000.000,3                                Kamar tidur                                    140 m?                                Bangunan                                     114 m?                                Lahan
Kotagede,Rp 690.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     105 m?                                Lahan
"Pandak, Bantul",Rp 335.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Bantul, Bantul",Rp 570.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Tempel, Sleman",Rp 480.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Depok, Sleman",Rp 1.185.000.000,3                                Kamar tidur                                    105 m?                                Bangunan                                     100 m?                                Lahan
