Address,Price,Details
"Purwo martani, Sleman",Rp 240.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     70 m?                                Lahan
"Bantul, Bantul",Rp 240.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     70 m?                                Lahan
"Depok, Sleman",Rp 3.600.000.000,5                                Kamar tidur                                    190 m?                                Bangunan                                     158 m?                                Lahan
"Sewon, Bantul",Rp 385.000.000,3                                Kamar tidur                                    54 m?                                Bangunan                                     98 m?                                Lahan
"Kalasan, Sleman",Rp 1.100.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     93 m?                                Lahan
"Mlati, Sleman",Rp 485.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     101 m?                                Lahan
"Bantul, Bantul",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     118 m?                                Lahan
"Prambanan, Sleman",Rp 375.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     71 m?                                Lahan
"Ngaglik, Sleman",Rp 695.000.000,3                                Kamar tidur                                    53 m?                                Bangunan                                     111 m?                                Lahan
Gunung Kidul,Rp 380.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     84 m?                                Lahan
Yogyakarta,Rp 1.225.000.000,5                                Kamar tidur                                    220 m?                                Bangunan                                     189 m?                                Lahan
"Banguntapan, Bantul",Rp 365.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     12 m?                                Lahan
"Kalasan, Sleman",Rp 470.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     123 m?                                Lahan
"Ngaglik, Sleman",Rp 729.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     144 m?                                Lahan
"Sedayu, Bantul",Rp 822.000.000,3                                Kamar tidur                                    75 m?                                Bangunan                                     96 m?                                Lahan
"Depok, Sleman",Rp 525.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     60 m?                                Lahan
"Depok, Sleman",Rp 542.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     113 m?                                Lahan
"Kasihan, Bantul",Rp 370.000.000,2                                Kamar tidur                                    52 m?                                Bangunan                                     80 m?                                Lahan
"Jetis, Bantul",Rp 325.000.000,2                                Kamar tidur                                    76 m?                                Bangunan                                     76 m?                                Lahan
"Mlati, Sleman",Rp 800.000.000,2                                Kamar tidur                                    99 m?                                Bangunan                                     75 m?                                Lahan
"Maguwoharjo, Sleman",Rp 960.000.000,3                                Kamar tidur                                    85 m?                                Bangunan                                     118 m?                                Lahan
"Mlati, Sleman",Rp 1.497.000.000,3                                Kamar tidur                                    115 m?                                Bangunan                                     120 m?                                Lahan
"Kalasan, Sleman",Rp 423.500.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     124 m?                                Lahan
Umbulharjo,Rp 849.000.000,4                                Kamar tidur                                    140 m?                                Bangunan                                     140 m?                                Lahan
"Cangkringan, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     112 m?                                Lahan
"Kotagede, Yogyakarta",Rp 370.920.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     79 m?                                Lahan
"Kasihan, Bantul",Rp 330.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     98 m?                                Lahan
"Depok, Sleman",Rp 358.090.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
"Pengasih, Kulon Progo",Rp 150.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     50 m?                                Lahan
"Jetis, Bantul",Rp 485.000.000,2                                Kamar tidur                                    60 m?                                Bangunan                                     105 m?                                Lahan
"Ngaglik, Sleman",Rp 585.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     125 m?                                Lahan
"Condong Catur, Sleman",Rp 557.500.000,3                                Kamar tidur                                    40 m?                                Bangunan                                     110 m?                                Lahan
"Prambanan, Sleman",Rp 700.000.000,3                                Kamar tidur                                    98 m?                                Bangunan                                     223 m?                                Lahan
Sleman,Rp 1.497.000.000,3                                Kamar tidur                                    115 m?                                Bangunan                                     125 m?                                Lahan
"Depok, Sleman",Rp 1.500.000.000,5                                Kamar tidur                                    120 m?                                Bangunan                                     120 m?                                Lahan
"Ngaglik, Sleman",Rp 4.500.000.000,6                                Kamar tidur                                    250 m?                                Bangunan                                     334 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 2.600.000.000,4                                Kamar tidur                                    140 m?                                Bangunan                                     138 m?                                Lahan
"Pajangan, Bantul",Rp 330.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     84 m?                                Lahan
Kulon Progo,Rp 650.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     95 m?                                Lahan
"Sedayu, Bantul",Rp 496.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     119 m?                                Lahan
"Kalasan, Sleman",Rp 510.000.000,2                                Kamar tidur                                    48 m?                                Bangunan                                     108 m?                                Lahan
"Ngaglik, Sleman",Rp 650.000.000,4                                Kamar tidur                                    200 m?                                Bangunan                                     138 m?                                Lahan
"Sleman, Sleman",Rp 800.000.000,4                                Kamar tidur                                    90 m?                                Bangunan                                     240 m?                                Lahan
"Sedayu, Bantul",Rp 555.000.000,3                                Kamar tidur                                    75 m?                                Bangunan                                     70 m?                                Lahan
"Kalasan, Sleman",Rp 550.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     125 m?                                Lahan
"Kasihan, Bantul",Rp 538.526.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Sleman, Sleman",Rp 285.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     115 m?                                Lahan
"Godean, Sleman",Rp 535.000.000,3                                Kamar tidur                                    55 m?                                Bangunan                                     90 m?                                Lahan
"Kalasan, Sleman",Rp 3.900.000.000,5                                Kamar tidur                                    400 m?                                Bangunan                                     650 m?                                Lahan
"Kasihan, Bantul",Rp 3.100.000.000,4                                Kamar tidur                                    195 m?                                Bangunan                                     317 m?                                Lahan
"Banguntapan, Bantul",Rp 930.000.000,3                                Kamar tidur                                    75 m?                                Bangunan                                     97 m?                                Lahan
"Sedayu, Bantul",Rp 360.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     72 m?                                Lahan
"Depok, Sleman",Rp 799.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     123 m?                                Lahan
"Sewon, Bantul",Rp 355.788.800,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
"Sedayu, Bantul",Rp 1.100.000.000,3                                Kamar tidur                                    85 m?                                Bangunan                                     114 m?                                Lahan
"Ngaglik, Sleman",Rp 850.000.000,1                                Kamar tidur                                    120 m?                                Bangunan                                     200 m?                                Lahan
Bantul,Rp 240.000.000,2                                Kamar tidur                                    42 m?                                Bangunan                                     90 m?                                Lahan
"Berbah, Sleman",Rp 395.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     91 m?                                Lahan
"Sedayu, Bantul",Rp 280.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     78 m?                                Lahan
"Jetis, Bantul",Rp 275.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     76 m?                                Lahan
"Turi, Sleman",Rp 275.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     1 m?                                Lahan
"Berbah, Sleman",Rp 763.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     100 m?                                Lahan
"Banguntapan, Bantul",Rp 750.000.000,3                                Kamar tidur                                    84 m?                                Bangunan                                     2694 m?                                Lahan
"Banguntapan, Bantul",Rp 750.000.000,3                                Kamar tidur                                    84 m?                                Bangunan                                     2694 m?                                Lahan
"Ngaglik, Sleman",Rp 1.500.000.000,3                                Kamar tidur                                    222 m?                                Bangunan                                     136 m?                                Lahan
"Piyungan, Bantul",Rp 365.580.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
"Ngemplak, Sleman",Rp 1.800.000.000,5                                Kamar tidur                                    280 m?                                Bangunan                                     152 m?                                Lahan
"Berbah, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     111 m?                                Lahan
"Banguntapan, Bantul",Rp 750.000.000,3                                Kamar tidur                                    65 m?                                Bangunan                                     84 m?                                Lahan
"Pakem, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     105 m?                                Lahan
"Sleman, Sleman",Rp 595.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     110 m?                                Lahan
"Kalasan, Sleman",Rp 2.400.000.000,3                                Kamar tidur                                    180 m?                                Bangunan                                     125 m?                                Lahan
"Moyudan, Sleman",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     125 m?                                Lahan
"Caturtunggal, Sleman",Rp 1.600.000.000,6                                Kamar tidur                                    250 m?                                Bangunan                                     171 m?                                Lahan
Sleman,Rp 1.367.000.000,3                                Kamar tidur                                    72 m?                                Bangunan                                     108 m?                                Lahan
"Sedayu, Bantul",Rp 395.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     119 m?                                Lahan
"Pakem, Sleman",Rp 298.000.000,2                                Kamar tidur                                    52 m?                                Bangunan                                     56 m?                                Lahan
"Sedayu, Bantul",Rp 475.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     70 m?                                Lahan
"Seyegan, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     107 m?                                Lahan
"Kasihan, Bantul",Rp 425.000.000,2                                Kamar tidur                                    47 m?                                Bangunan                                     106 m?                                Lahan
"Kasihan, Bantul",Rp 435.000.000,2                                Kamar tidur                                    67 m?                                Bangunan                                     107 m?                                Lahan
"Kasihan, Bantul",Rp 425.000.000,2                                Kamar tidur                                    47 m?                                Bangunan                                     106 m?                                Lahan
"Ngemplak, Sleman",Rp 1.200.000.000,4                                Kamar tidur                                    180 m?                                Bangunan                                     100 m?                                Lahan
"Bantul, Bantul",Rp 360.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     75 m?                                Lahan
"Ngaglik, Sleman",Rp 675.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     116 m?                                Lahan
"Depok, Sleman",Rp 650.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     120 m?                                Lahan
"Godean, Sleman",Rp 368.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
"Wonosari, Gunung Kidul",Rp 245.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     91 m?                                Lahan
"Gamping, Sleman",Rp 315.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     82 m?                                Lahan
"Purwo martani, Sleman",Rp 690.000.000,3                                Kamar tidur                                    110 m?                                Bangunan                                     88 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 700.000.000,5                                Kamar tidur                                    100 m?                                Bangunan                                     152 m?                                Lahan
"Ngaglik, Sleman",Rp 4.634.000.000,3                                Kamar tidur                                    180 m?                                Bangunan                                     235 m?                                Lahan
Sleman,Rp 695.000.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     101 m?                                Lahan
"Sewon, Bantul",Rp 415.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     88 m?                                Lahan
"Sedayu, Bantul",Rp 630.000.000,3                                Kamar tidur                                    75 m?                                Bangunan                                     70 m?                                Lahan
Sleman,Rp 495.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     105 m?                                Lahan
"Jetis, Bantul",Rp 450.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     100 m?                                Lahan
"Ngaglik, Sleman",Rp 2.150.000.000,6                                Kamar tidur                                    140 m?                                Bangunan                                     159 m?                                Lahan
"Kasihan, Bantul",Rp 625.000.000,2                                Kamar tidur                                    65 m?                                Bangunan                                     101 m?                                Lahan
"Patuk, Gunung Kidul",Rp 270.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     78 m?                                Lahan
"Bantul, Bantul",Rp 345.000.000,2                                Kamar tidur                                    37 m?                                Bangunan                                     91 m?                                Lahan
"Kalasan, Sleman",Rp 988.000.000,3                                Kamar tidur                                    70 m?                                Bangunan                                     90 m?                                Lahan
"Bantul, Bantul",Rp 425.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 1.600.000.000,3                                Kamar tidur                                    55 m?                                Bangunan                                     135 m?                                Lahan
"Tegalrejo, Yogyakarta",Rp 1.700.000.000,4                                Kamar tidur                                    120 m?                                Bangunan                                     1 m?                                Lahan
"Ngaglik, Sleman",Rp 1.195.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     121 m?                                Lahan
"Godean, Sleman",Rp 1.099.000.000,3                                Kamar tidur                                    107 m?                                Bangunan                                     126 m?                                Lahan
"Pajangan, Bantul",Rp 285.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     72 m?                                Lahan
"Godean, Sleman",Rp 982.980.000,3                                Kamar tidur                                    78 m?                                Bangunan                                     100 m?                                Lahan
"Kasihan, Bantul",Rp 450.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     90 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 1.300.000.000,4                                Kamar tidur                                    135 m?                                Bangunan                                     135 m?                                Lahan
"Kalasan, Sleman",Rp 400.000.000,2                                Kamar tidur                                    64 m?                                Bangunan                                     89 m?                                Lahan
"Mlati, Sleman",Rp 975.000.000,4                                Kamar tidur                                    100 m?                                Bangunan                                     115 m?                                Lahan
"Ngaglik, Sleman",Rp 4.000.000.000,7                                Kamar tidur                                    400 m?                                Bangunan                                     460 m?                                Lahan
"Banguntapan, Bantul",Rp 470.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     94 m?                                Lahan
"Depok, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     113 m?                                Lahan
"Gamping, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     114 m?                                Lahan
"Kasihan, Bantul",Rp 375.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     90 m?                                Lahan
"Bantul, Bantul",Rp 368.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
